entidad,relacion,objetos,pregunta,respuestas,obtenido_de,respuestas_aliases
Canal 13,propiedad de,['Pontificia Universidad Católica de Chile'],Contesta la siguiente pregunta: ¿A quién pertenece Canal 13?,['Pontificia Universidad Católica de Chile'],['chile'],"[['PUC', 'Pontificia Universidad Catolica de Chile', 'Universidad Catolica de Chile', 'Universidad Católica de Chile', 'Universidad Catolica de Santiago', 'Universidad Católica de Santiago']]"
Caracol Radio,propiedad de,['Grupo Prisa'],Contesta la siguiente pregunta: ¿A quién pertenece Caracol Radio?,['Grupo Prisa'],['colombia'],[['Prisa']]
Centro de Educación Artística,propiedad de,['Grupo Televisa'],Contesta la siguiente pregunta: ¿A quién pertenece Centro de Educación Artística?,['Grupo Televisa'],['cuba'],"[['Televisa', 'Televisa SA de CV']]"
DuPont Corporation,propiedad de,"['BlackRock', 'The Vanguard Group']",Contesta la siguiente pregunta: ¿A quién pertenece DuPont Corporation?,"['BlackRock', 'The Vanguard Group']","['usa', 'usa']","[['BlackRock, Inc.'], []]"
Dunkin',propiedad de,['Inspirar marcas'],Contesta la siguiente pregunta: ¿A quién pertenece Dunkin'?,['Inspirar marcas'],['usa'],[[]]
Díptico de Marilyn,propiedad de,"['Tate Modern', 'Tate']",Contesta la siguiente pregunta: ¿A quién pertenece Díptico de Marilyn?,"['Tate Modern', 'Tate']","['usa', 'usa']","[['Museo Nacional Britanico de Arte Moderno', 'Museo Nacional Británico de Arte Moderno'], []]"
Fox Sports,propiedad de,"['The Walt Disney Company', 'Foxtel', 'Mediapro']",Contesta la siguiente pregunta: ¿A quién pertenece Fox Sports?,"['The Walt Disney Company', 'Foxtel', 'Mediapro']","['republica_dominicana', 'republica_dominicana', 'republica_dominicana']","[['Walt Disney', 'Disney', 'Disney Brothers Cartoon Studio', 'Disney Company', 'The Walt Disney Studio', 'Walt Disney Productions'], [], []]"
Instituto O'Higgins de Rancagua,propiedad de,['Congregación de los Hermanos Maristas'],Contesta la siguiente pregunta: ¿A quién pertenece Instituto O'Higgins de Rancagua?,['Congregación de los Hermanos Maristas'],['chile'],"[['Maristas', 'FMS', 'PFM', 'Congregación de los Hermanos Maristas', 'F.M.S.', 'Hermanos Maristas', 'Maristas de Champagnat', 'P.F.M.']]"
Jarosław,propiedad de,['Jan of Tarnów'],Contesta la siguiente pregunta: ¿A quién pertenece Jarosław?,['Jan of Tarnów'],['venezuela'],[['Jan of Tarnow']]
La Sorbona,propiedad de,['municipalidad de París'],Contesta la siguiente pregunta: ¿A quién pertenece La Sorbona?,['municipalidad de París'],['costa_rica'],"[['Alcaldia de Paris', 'Alcaldía de Paris', 'mairie de Paris', 'mairie de París', 'municipalidad de Paris', 'municipio de Paris', 'municipio de París']]"
Miss Venezuela,propiedad de,['Organización Miss Venezuela'],Contesta la siguiente pregunta: ¿A quién pertenece Miss Venezuela?,['Organización Miss Venezuela'],['venezuela'],[['Organizacion Miss Venezuela']]
Palacio del príncipe de Mónaco,propiedad de,['Casa de Grimaldi'],Contesta la siguiente pregunta: ¿A quién pertenece Palacio del príncipe de Mónaco?,['Casa de Grimaldi'],['usa'],"[['Grimaldi', 'Dinastia Grimaldi', 'Dinastía Grimaldi', 'Familia Grimaldi', 'Grimaldi (familia)']]"
RCTV,propiedad de,['Empresas 1BC'],Contesta la siguiente pregunta: ¿A quién pertenece RCTV?,['Empresas 1BC'],['ecuador'],"[['1BC', 'Cadena 1bc', 'Grupo 1BC', 'Grupo Phelps']]"
Televisa San Ángel,propiedad de,['Grupo Televisa'],Contesta la siguiente pregunta: ¿A quién pertenece Televisa San Ángel?,['Grupo Televisa'],['mexico'],"[['Televisa', 'Televisa SA de CV']]"
US West,propiedad de,['AT&T Corporation'],Contesta la siguiente pregunta: ¿A quién pertenece US West?,['AT&T Corporation'],['usa'],[[]]
Venevisión,propiedad de,['Organización Cisneros'],Contesta la siguiente pregunta: ¿A quién pertenece Venevisión?,['Organización Cisneros'],['venezuela'],"[['Cisneros', 'Cisneros Group', 'Grupo Cisneros', 'Organizacion Cisneros']]"
premio Grammy al mejor álbum de pop latino,propiedad de,['Alejandro Sanz'],Contesta la siguiente pregunta: ¿A quién pertenece premio Grammy al mejor álbum de pop latino?,['Alejandro Sanz'],['colombia'],[['Alejandro Sánchez Pizarro']]
Academia Colombiana de la Lengua,categoría de miembros,['Categoría:Miembros de la Academia Colombiana de la Lengua'],Contesta la siguiente pregunta: ¿A qué categoría de miembros pertenece Academia Colombiana de la Lengua?,['Categoría:Miembros de la Academia Colombiana de la Lengua'],['colombia'],[[]]
Academia Nacional de Ciencias de los Estados Unidos,categoría de miembros,['Categoría:Miembros de la Academia Nacional de Ciencias de Estados Unidos'],Contesta la siguiente pregunta: ¿A qué categoría de miembros pertenece Academia Nacional de Ciencias de los Estados Unidos?,['Categoría:Miembros de la Academia Nacional de Ciencias de Estados Unidos'],['chile'],[[]]
Academia de Bellas Artes,categoría de miembros,['Categoría:Miembros de la Academia de Bellas Artes de Francia'],Contesta la siguiente pregunta: ¿A qué categoría de miembros pertenece Academia de Bellas Artes?,['Categoría:Miembros de la Academia de Bellas Artes de Francia'],['venezuela'],[[]]
Pixies,categoría de miembros,['Categoría:Miembros de Pixies'],Contesta la siguiente pregunta: ¿A qué categoría de miembros pertenece Pixies?,['Categoría:Miembros de Pixies'],['argentina'],[[]]
Salón Internacional de la Fama del tenis,categoría de miembros,['Categoría:Miembros del Salón de la Fama del tenis'],Contesta la siguiente pregunta: ¿A qué categoría de miembros pertenece Salón Internacional de la Fama del tenis?,['Categoría:Miembros del Salón de la Fama del tenis'],['argentina'],[[]]
Slayer,categoría de miembros,['Categoría:Miembros de Slayer'],Contesta la siguiente pregunta: ¿A qué categoría de miembros pertenece Slayer?,['Categoría:Miembros de Slayer'],['chile'],[[]]
Acarigua,categoría de personas relacionadas,['Categoría:Acarigüeños'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Acarigua?,['Categoría:Acarigüeños'],['venezuela'],[[]]
Aguascalientes,categoría de personas relacionadas,['Categoría:Personas de Aguascalientes (ciudad)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Aguascalientes?,['Categoría:Personas de Aguascalientes (ciudad)'],['mexico'],[[]]
Babahoyo,categoría de personas relacionadas,['Categoría:Babahoyenses'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Babahoyo?,['Categoría:Babahoyenses'],['ecuador'],[[]]
Berkeley,categoría de personas relacionadas,['Categoría:Personas de Berkeley (California)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Berkeley?,['Categoría:Personas de Berkeley (California)'],['usa'],[[]]
Cauquenes,categoría de personas relacionadas,['Categoría:Personas de Cauquenes'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Cauquenes?,['Categoría:Personas de Cauquenes'],['chile'],[[]]
Ciudad del Este,categoría de personas relacionadas,['Categoría:Personas de Ciudad del Este'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Ciudad del Este?,['Categoría:Personas de Ciudad del Este'],['paraguay'],[[]]
Copiapó,categoría de personas relacionadas,['Categoría:Personas de Copiapó'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Copiapó?,['Categoría:Personas de Copiapó'],['chile'],[[]]
Culiacán,categoría de personas relacionadas,['Categoría:Personas de Culiacán'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Culiacán?,['Categoría:Personas de Culiacán'],['mexico'],[[]]
Cúcuta,categoría de personas relacionadas,['Categoría:Personas de Cúcuta'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Cúcuta?,['Categoría:Personas de Cúcuta'],['colombia'],[[]]
Departamento de Cajamarca,categoría de personas relacionadas,['Categoría:Personas del departamento de Cajamarca'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Departamento de Cajamarca?,['Categoría:Personas del departamento de Cajamarca'],['peru'],[[]]
Departamento de Petén,categoría de personas relacionadas,['Categoría:Personas del departamento de Petén'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Departamento de Petén?,['Categoría:Personas del departamento de Petén'],['guatemala'],[[]]
Departamento de San Marcos,categoría de personas relacionadas,['Categoría:Personas del departamento de San Marcos'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Departamento de San Marcos?,['Categoría:Personas del departamento de San Marcos'],['guatemala'],[[]]
El Bronx,categoría de personas relacionadas,['Categoría:Bronxeños'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con El Bronx?,['Categoría:Bronxeños'],['mexico'],[[]]
Grand Rapids,categoría de personas relacionadas,['Categoría:Personas de Grand Rapids (Míchigan)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Grand Rapids?,['Categoría:Personas de Grand Rapids (Míchigan)'],['panama'],[[]]
Guayaquil,categoría de personas relacionadas,['Categoría:Personas de Guayaquil'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Guayaquil?,['Categoría:Personas de Guayaquil'],['ecuador'],[[]]
Hayward,categoría de personas relacionadas,['Categoría:Personas de Hayward (California)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Hayward?,['Categoría:Personas de Hayward (California)'],['usa'],[[]]
Managua,categoría de personas relacionadas,['Categoría:Personas de Managua'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Managua?,['Categoría:Personas de Managua'],['chile'],[[]]
Martigny,categoría de personas relacionadas,['Categoría:Personas de Martigny'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Martigny?,['Categoría:Personas de Martigny'],['guatemala'],[[]]
Mercedes,categoría de personas relacionadas,['Categoría:Personas de Mercedes (Buenos Aires)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Mercedes?,['Categoría:Personas de Mercedes (Buenos Aires)'],['argentina'],[[]]
Monagas,categoría de personas relacionadas,['Categoría:Monaguenses'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Monagas?,['Categoría:Monaguenses'],['venezuela'],[[]]
Morón,categoría de personas relacionadas,['Categoría:Moronenses (Cuba)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Morón?,['Categoría:Moronenses (Cuba)'],['cuba'],[[]]
Nueva Esparta,categoría de personas relacionadas,['Categoría:Neoespartanos'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Nueva Esparta?,['Categoría:Neoespartanos'],['venezuela'],[[]]
Penco,categoría de personas relacionadas,['Categoría:Personas de Penco'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Penco?,['Categoría:Personas de Penco'],['chile'],[[]]
Puerto Cortés,categoría de personas relacionadas,['Categoría:Personas de Puerto Cortés'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Puerto Cortés?,['Categoría:Personas de Puerto Cortés'],['honduras'],[[]]
Puerto La Cruz,categoría de personas relacionadas,['Categoría:Puertocruzanos'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Puerto La Cruz?,['Categoría:Puertocruzanos'],['venezuela'],[[]]
Riobamba,categoría de personas relacionadas,['Categoría:Riobambeños'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Riobamba?,['Categoría:Riobambeños'],['ecuador'],[[]]
Saltillo,categoría de personas relacionadas,['Categoría:Personas de Saltillo'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Saltillo?,['Categoría:Personas de Saltillo'],['mexico'],[[]]
San Felipe,categoría de personas relacionadas,['Categoría:Personas de San Felipe (Chile)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con San Felipe?,['Categoría:Personas de San Felipe (Chile)'],['chile'],[[]]
San Francisco,categoría de personas relacionadas,['Categoría:Personas de San Francisco (Córdoba)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con San Francisco?,['Categoría:Personas de San Francisco (Córdoba)'],['argentina'],[[]]
San Lorenzo,categoría de personas relacionadas,['Categoría:Personas de San Lorenzo (Paraguay)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con San Lorenzo?,['Categoría:Personas de San Lorenzo (Paraguay)'],['paraguay'],[[]]
San Salvador,categoría de personas relacionadas,['Categoría:Personas de San Salvador'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con San Salvador?,['Categoría:Personas de San Salvador'],['nicaragua'],[[]]
Sucre,categoría de personas relacionadas,['Categoría:Personas de Sucre (Colombia)'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Sucre?,['Categoría:Personas de Sucre (Colombia)'],['colombia'],[[]]
Tuluá,categoría de personas relacionadas,['Categoría:Personas de Tuluá'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Tuluá?,['Categoría:Personas de Tuluá'],['colombia'],[[]]
Tumaco,categoría de personas relacionadas,['Categoría:Personas de Tumaco'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Tumaco?,['Categoría:Personas de Tumaco'],['colombia'],[[]]
Valera,categoría de personas relacionadas,['Categoría:Valeranos'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Valera?,['Categoría:Valeranos'],['venezuela'],[[]]
Willemstad,categoría de personas relacionadas,['Categoría:Personas de Willemstad'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Willemstad?,['Categoría:Personas de Willemstad'],['venezuela'],[[]]
Yaracuy,categoría de personas relacionadas,['Categoría:Yaracuyanos'],Contesta la siguiente pregunta: ¿A qué categoría pertenecen las personas relacionadas con Yaracuy?,['Categoría:Yaracuyanos'],['venezuela'],[[]]
Escuela de Economía y Ciencia Política de Londres,condado histórico,['Middlesex'],Contesta la siguiente pregunta: ¿A qué condado histórico pertenece Escuela de Economía y Ciencia Política de Londres?,['Middlesex'],['panama'],[[]]
Escuela de Estudios Orientales y Africanos,condado histórico,['Middlesex'],Contesta la siguiente pregunta: ¿A qué condado histórico pertenece Escuela de Estudios Orientales y Africanos?,['Middlesex'],['cuba'],[[]]
Real Academia de Arte Dramático,condado histórico,['Middlesex'],Contesta la siguiente pregunta: ¿A qué condado histórico pertenece Real Academia de Arte Dramático?,['Middlesex'],['usa'],[[]]
Royal Academy of Music,condado histórico,['Middlesex'],Contesta la siguiente pregunta: ¿A qué condado histórico pertenece Royal Academy of Music?,['Middlesex'],['venezuela'],[[]]
Universidad de Anglia del Este,condado histórico,['Norfolk'],Contesta la siguiente pregunta: ¿A qué condado histórico pertenece Universidad de Anglia del Este?,['Norfolk'],['usa'],[['condado de Norforlk']]
Universidad de Sussex,condado histórico,['Sussex'],Contesta la siguiente pregunta: ¿A qué condado histórico pertenece Universidad de Sussex?,['Sussex'],['costa_rica'],[[]]
Balón de Oro,deporte,['fútbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Balón de Oro?,['fútbol'],['argentina'],"[['futbol', 'balompié', 'balompie', 'pelota de pie']]"
Defensor del año de la Major League Soccer,deporte,['fútbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Defensor del año de la Major League Soccer?,['fútbol'],['colombia'],"[['futbol', 'balompié', 'balompie', 'pelota de pie']]"
Futbolista del año en Sudamérica,deporte,['fútbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Futbolista del año en Sudamérica?,['fútbol'],['argentina'],"[['futbol', 'balompié', 'balompie', 'pelota de pie']]"
IndyCar Series,deporte,['Fórmula (automovilismo)'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad IndyCar Series?,['Fórmula (automovilismo)'],['venezuela'],[[]]
Jugador Más Valioso de la Major League Soccer,deporte,['fútbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Jugador Más Valioso de la Major League Soccer?,['fútbol'],['honduras'],"[['futbol', 'balompié', 'balompie', 'pelota de pie']]"
Jugador Más Valioso,deporte,"['voleibol', 'fútbol', 'baloncesto', 'rugby a 15']",Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Jugador Más Valioso?,"['voleibol', 'fútbol', 'baloncesto', 'rugby a 15']","['republica_dominicana', 'republica_dominicana', 'republica_dominicana', 'republica_dominicana']","[['vóleibol', 'balonvolea', 'voley', 'vóley', 'volibol', 'vólibol'], ['futbol', 'balompié', 'balompie', 'pelota de pie'], ['basket'], ['rugby union']]"
Most Valuable Player,deporte,['béisbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Most Valuable Player?,['béisbol'],['panama'],[['beisbol']]
Premio Cy Young,deporte,['béisbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Premio Cy Young?,['béisbol'],['venezuela'],[['beisbol']]
Premio Puskás,deporte,['fútbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Premio Puskás?,['fútbol'],['colombia'],"[['futbol', 'balompié', 'balompie', 'pelota de pie']]"
Salón de la Fama del fútbol inglés,deporte,['fútbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Salón de la Fama del fútbol inglés?,['fútbol'],['argentina'],"[['futbol', 'balompié', 'balompie', 'pelota de pie']]"
Trofeo Calder,deporte,['hockey sobre hielo'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad Trofeo Calder?,['hockey sobre hielo'],['paraguay'],"[['hockey hielo', 'ice hockey', 'joquey sobre hielo', 'jóquey sobre hielo']]"
arquero,deporte,['tiro con arco'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad arquero?,['tiro con arco'],['costa_rica'],[['arquería']]
ciclista,deporte,['ciclismo de competición'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad ciclista?,['ciclismo de competición'],['ecuador'],[['ciclismo de competicion']]
entrenador de balonmano,deporte,['balonmano'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad entrenador de balonmano?,['balonmano'],['paraguay'],[[]]
entrenador de bádminton,deporte,['bádminton'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad entrenador de bádminton?,['bádminton'],['peru'],[['badminton']]
entrenador de fútbol sala,deporte,['fútbol sala'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad entrenador de fútbol sala?,['fútbol sala'],['costa_rica'],"[['Fútbol 5', 'Futbito', 'Fútbol de salón', 'futbol re', 'Fútbol sala', 'Futsala', 'Microfútbol', 'Minifútbol']]"
entrenador de tenis,deporte,['tenis'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad entrenador de tenis?,['tenis'],['argentina'],[['🎾']]
entrenador,deporte,['fútbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad entrenador?,['fútbol'],['argentina'],"[['futbol', 'balompié', 'balompie', 'pelota de pie']]"
esquiador de fondo,deporte,['esquí de fondo'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad esquiador de fondo?,['esquí de fondo'],['chile'],"[['Cross country skiing', 'Esqui de fondo', 'Esqui de fondo o nordico', 'Esqui de fondo o nórdico', 'Esquí de fondo o nordico', 'Esquí de fondo o nórdico', 'Esqui nordico', 'Esqui nórdico', 'Esquí nordico']]"
gimnasta artístico,deporte,['gimnasia artística'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad gimnasta artístico?,['gimnasia artística'],['cuba'],"[['gimnasia artistica', 'gimnasia deportiva']]"
guardameta,deporte,['fútbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad guardameta?,['fútbol'],['paraguay'],"[['futbol', 'balompié', 'balompie', 'pelota de pie']]"
jugador de balonmano playa,deporte,['balonmano playa'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad jugador de balonmano playa?,['balonmano playa'],['paraguay'],[[]]
jugador de fútbol americano,deporte,['fútbol americano'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad jugador de fútbol americano?,['fútbol americano'],['argentina'],"[['futbol americano', 'FBA', 'American football', '🏈', 'football americano', 'rugby americano']]"
jugador de fútbol sala,deporte,['fútbol sala'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad jugador de fútbol sala?,['fútbol sala'],['costa_rica'],"[['Fútbol 5', 'Futbito', 'Fútbol de salón', 'futbol re', 'Fútbol sala', 'Futsala', 'Microfútbol', 'Minifútbol']]"
jugador de squash,deporte,['squash'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad jugador de squash?,['squash'],['colombia'],[[]]
jugador de voleibol de playa,deporte,['voleibol de playa'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad jugador de voleibol de playa?,['voleibol de playa'],['argentina'],"[['voleibol playa', 'Voleibol playero', 'vóley playa', 'voleybol de playa']]"
levantador de potencia,deporte,['levantamiento de potencia'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad levantador de potencia?,['levantamiento de potencia'],['el_salvador'],"[['pesas', 'fuerza atletica', 'fuerza atlética', 'powerlifting']]"
luchador,deporte,['lucha amateur'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad luchador?,['lucha amateur'],['colombia'],[[]]
mánager de béisbol,deporte,['béisbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad mánager de béisbol?,['béisbol'],['republica_dominicana'],[['beisbol']]
pentatleta moderno,deporte,['pentatlón moderno'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad pentatleta moderno?,['pentatlón moderno'],['guatemala'],"[['Pentathlon moderno', 'Pentathlón moderno', 'Pentatlon moderno']]"
tenista de mesa,deporte,['tenis de mesa'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad tenista de mesa?,['tenis de mesa'],['honduras'],"[['pimpon', 'pimpón', 'ping-pong']]"
triatleta,deporte,['triatlón'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad triatleta?,['triatlón'],['chile'],[['triatlon']]
velocista,deporte,['atletismo'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad velocista?,['atletismo'],['argentina'],[['pista y campo']]
árbitro FIFA,deporte,['fútbol'],Contesta la siguiente pregunta: ¿A qué deporte pertenece la entidad árbitro FIFA?,['fútbol'],['argentina'],"[['futbol', 'balompié', 'balompie', 'pelota de pie']]"
Escuela Preparatoria Belmont,distrito escolar,['Distrito Escolar Unificado de Los Ángeles'],Contesta la siguiente pregunta: ¿A qué distrito escolar pertenece Escuela Preparatoria Belmont?,['Distrito Escolar Unificado de Los Ángeles'],['mexico'],"[['Distrito Escolar Unificado de Los Angeles', 'LAUSD', 'Los Angeles Unified School District', 'Los Angeles USD']]"
Escuela Preparatoria Garfield,distrito escolar,['Distrito Escolar Unificado de Los Ángeles'],Contesta la siguiente pregunta: ¿A qué distrito escolar pertenece Escuela Preparatoria Garfield?,['Distrito Escolar Unificado de Los Ángeles'],['mexico'],"[['Distrito Escolar Unificado de Los Angeles', 'LAUSD', 'Los Angeles Unified School District', 'Los Angeles USD']]"
Escuela Preparatoria Seagoville,distrito escolar,['Distrito Escolar Independiente de Dallas'],Contesta la siguiente pregunta: ¿A qué distrito escolar pertenece Escuela Preparatoria Seagoville?,['Distrito Escolar Independiente de Dallas'],['guatemala'],"[['DISD', 'Dallas ISD', 'Distrito escolar independiente de dallas']]"
